Breed,Origin,fci,akc,NKC,ankc,tkc,nzkc,ukc
Affenpinscher,"Germany,France",Group 02 Section 01 #186,Toy Group,Group 01 (Toys),Group 05 - (Toys),Toy,Toy,Companion Dog
Afghan Hound,Afghanistan,Group 10 Section 01 #228,Hound Group,Group 04 (Hounds),Group 02 - (Hounds),Hound,Hound,Sighthound and Pariah
Aidi,Morocco,Group 02 Section 02 #247,,,,,,Guardian Dog
Airedale Terrier,England,Group 03 Section 01 #007,Terrier Group,Group 02 (Terriers),Group 04 - (Terriers),Terrier,Terrier,Terrier
Akbash,Turkey,,,,,,,Guardian Dog
Akita Inu,Japan,Group 05 Section 05 #255,See American Akita,See American Akita,See American Akita,Utility,Utility,Northern Breed
Alano Español,Spain,,,,,,,
Alaskan Klee Kai,United States,,,,,,,Northern Breed
Alaskan Malamute,United States,Group 05 Section 01 #243,Working Group,Group 06 (Utility),Group 03 – (Working Dogs),Working,Utility,Northern Breed
Alpine Dachsbracke,Austria,Group 06 Section 02 #254,,,,,,Scenthound
Alpine Spaniel,"Switzerland,Savoy",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
American Akita,Japan/United States,Group 05 Section 05 #344,Working Group,Group 6 (Utility),Group 03 - (Working Dogs),Utility,Utility,Northern Breed
American Bulldog,United States,,,,,,,Guardian Dog
American Cocker Spaniel,United States,Group 08 Section 02 #167,Sporting Group,Group 03 (Gundogs),Group 01 Sporting Dogs,Gundog,Gundogs,Gun Dog
American Eskimo Dog,Germany,,Non-Sporting Group,,Group 06 (Non-sporting),,,Northern Breed
American Foxhound,United States,Group 06 Section 01 #303,Hound Group,,Group 02 (Hounds),,,Scenthound
American Hairless Terrier,United States,,,,,,,Terrier
American Pit Bull Terrier,United States,,,,,,,Terrier
American Staffordshire Terrier,United States,Group 03 Section 03 #286,Terrier Group,Group 02 (Terriers),Group 04 - Terrier,,Terrier,
American Water Spaniel,United States,Group 08 Section 03 #301,Sporting Group,,Sporting,,,Gun Dog
Anatolian Shepherd Dog,Turkey,Group 02 Section 02 #331,Working Group,Group 06 (Utility),,Pastoral,Utility,Guardian Dog
Anglo-Français de Petite Vénerie,France,Group 06 Section 01 #325,,,,,,Scenthound
Appenzeller Sennenhund,Switzerland,Group 02 Section 03 #046,Foundation Stock Service,,,,,Guardian Dog
Ariege Pointer,France,Group 07 Section 01 #177,,,,,,Gun Dog
Ariegeois,France,Group 06 Section 01 #020,,,,,,Scenthound
Armant,Egypt,,,,,,,
Armenian Gampr dog,Armenia,,,,,,,
Artois Hound,France,Group 06 Section 01 #028,,,,,,
Australian Cattle Dog,Australia,Group 01 Section 02 #287,Herding Group,Group 05 (Working Dogs),Group 07 - (Herding Dogs),Pastoral,Working,Herding Dog
Australian Kelpie,Australia,Group 01 Section 01 #293,,Group 05 (Working Dogs),Group 07 - (Herding Dogs),,Working,Herding Dog
Australian Shepherd,United States,Group 01 Section 01 #342,Herding Group,Group 05 (Working Dogs),Group 07 - (Herding Dogs),Pastoral,Working,Herding Dog
Australian Silky Terrier,Australia,Group 03 Section 04 #236,Toy Group,Group 1 (Toys),Group 05 (Toys),Toy,Toy,Terrier
Australian Stumpy Tail Cattle Dog[10],Australia,,,Group 05 - (Working dogs),Group 07 - (Herding Dogs),,Working,Herding Dog
Australian Terrier,Australia,Group 03 Section 02 #008,Terrier Group,Group 02 (Terrier),Group 04 (Terriers),Terriers,Terrier,Terrier
Austrian Black and Tan Hound,Austria,Group 06 Section 01 #063,,,,,,Scenthound
Austrian Pinscher,Austria,Group 02 Section 01 #064,,,,,,Terrier
Azawakh,Mali,Group 10 Section 03 #307,Miscellaneous (Hound),Hound,,Hound,,Sighthound and Pariah
Bakharwal Dog,India,,,,,,,
Barbet,France,Group 08 Section 03 #105,FSS,,Group 01 (Sporting),,,Gun Dog
Basenji,Democratic Republic of the Congo,Group 05 Section 06 #043,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Basque Shepherd Dog,Spain,,,,,,,
Basset Artésien Normand,France,Group 06 Section 01 #034,,,,,,Scenthound
Basset Bleu de Gascogne,France,Group 06 Section 01 #035,,,Hound,,,Scenthound
Basset Fauve de Bretagne,France,,,,,,Hound,
"Basset Griffon Vendéen, Grand",France,,FSS,,,,,Scenthound
"Basset Griffon Vendéen, Petit",France,Group 06 Section 01 #067,Hound Group,Group 04 (Hounds),Group 02 - Hound,Hound,Hounds,Scenthound
Basset Hound,France,Group 06 Section 01 #163,Hound,Group 4 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Bavarian Mountain Hound,Germany,Group 06 Section 02 #217,,,,,,
Beagle,England,Group 06 Section 01 #161,Hound Group,Group 04 (Hounds),Group 02 – Hounds,Hound,Hound,Scenthound
Beagle-Harrier,France,Group 06 Section 01 #290,,,,,,Scenthound
Bearded Collie,Scotland,Group 01 Section 01 #271,Herding Group,Group 05 (Working Dogs),Group 07 - Herding,Pastoral,Working,Herding Dog
Beauceron,France,Group 01 Section 01 #044,Herding Group,,,Working,,Herding Dog
Bedlington Terrier,United Kingdom,Group 03 Section 01 #009,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Belgian Shepherd Dog (Groenendael),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Laekenois),Belgium,Group 01 Section 01 #015,FSS,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd Dog (Malinois),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Belgian Shepherd (Tervuren),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Bergamasco Shepherd,Italy,Group 01 Section 01 #194,FSS (Miscellaneous),,Pastoral,,Working,Herding Dog
Berger Blanc Suisse,Switzerland,Group 01 Section 01 #347 Provisional,,,,,,
Berger Picard,France,Group 01 Section 07 #176,FSS,,Group 07 (Herding),,,Herding Dog
Berner Laufhund,Switzerland,,,,,,,
Bernese Mountain Dog,Switzerland,Group 02 Section 03 #045,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bichon Frisé,"Spain, Belgium",Group 09 Section 01 #215,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog
Billy,France,Group 06 Section 01 #025,,,,,,Scenthound
Black and Tan Coonhound,United States,Group 06 Section 01 #300,Hound Group,,Group 02 - Hounds,,Hound,Scenthound
Black and Tan Virginia Foxhound,United States,,,,,,,
Bullenbeisser,Germany,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Black Norwegian Elkhound,Norway,"Group 05 Section 02 #242,268",,Group 04 (Hounds),,,Hounds,
Black Russian Terrier,Union of Soviet Socialist Republics,Group 02 Section 01 #327,Working Group,Group 06 (Utility),Group 03 - Working,Working,Utility,Guardian Dog
Blackmouth Cur,United States,,,,,,,Scenthound
"Bleu de Gascogne, Grand",France,Group 06 Section 01 #022,,,,,,Scenthound
"Bleu de Gascogne, Petit",France,Group 06 Section 01 #031,,,,,,Scenthound
Bloodhound,"Belgium, France",Group 06 Section 01 #084,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Blue Lacy,United States,,,,,,,
Blue Paul Terrier,Scotland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Bluetick Coonhound,United States,,Hound Group,Group 04 (Hounds),,,Hound,Scenthound
Boerboel,South Africa,,FSS (Miscellaneous),,,,,
Bohemian Shepherd,Czech Republic,,,,,,,
Bolognese,Italy,Group 09 Section 01 #196,FSS,,,Toy,Toy,Companion Dog
Border Collie,"Scotland,England, Wales",Group 01 Section 01 #297,Herding Group,Group 05 (Working Dogs),Group 07 - Herding,Pastoral,Working,Herding Dog
Border Terrier,"Scotland,England",Group 03 Section 01 #010,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Borzoi,Russia,Group 10 Section 01 #193,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,Group 06 Section 01 #155,,,,,,Scenthound
Boston Terrier,United States,Group 09 Section 11 #140,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
Bouvier des Ardennes,Belgium,,,,,,,Herding Dog
Bouvier des Flandres,Belgium,Group 01 Section 02 #191,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Working,Working,Herding Dog
Boxer,Germany,Group 02 Section 02 #144,Working Group,Group 06 (Utility),Group 03 - Working,Working,Utility,Guardian Dog
Boykin Spaniel,United States,,Sporting Group,,,,,Gun Dog
Bracco Italiano,Italy,Group 07 Section 01 #202,FSS,,,Gundogs,Gundogs,Gun Dog
Braque d'Auvergne,France,Group 07 Section 01 #180,,,,,,Gun Dog
Braque du Bourbonnais,France,Group 07 Section 01 #179,,,,,,Gun Dog
Braque du Puy,France,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Braque Francais,France,"#133, 134",,,,,,
Braque Saint-Germain,France,Group 07 Section 01 #115,,,,,,Gun Dog
Brazilian Terrier,Brazil,Group 03 Section 01 #341,,,,,,
Briard,France,Group 01 Section 01 #113,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Briquet Griffon Vendéen,France,Group 06 Section 01 #019,,,,,,
Brittany,France,Group 07 Section 01 #095,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Broholmer,Denmark,Group 02 Section 02 #315,,,,,,Guardian Dog
Bruno Jura Hound,"Switzerland,France",,,,,,,
Bucovina Shepherd Dog,Romania,Group 02 Section 02,,,,,,
Bull and Terrier,United Kingdom,,,,,,,
Bull Terrier,England,Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Bull Terrier (Miniature),England,Group 03 Section 03 #011b,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Bulldog,England,Group 02 Section 02 #149,Non-sporting Group,Group 7 (Non-Sporting),Group 06 - (Non-sporting),Utility,Non Sporting,Companion Dog
Bullmastiff,England,Group 02 Section 02 #157,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Bully Kutta,Pakistan,,,,,,,
Burgos Pointer,Spain,,,,,,,Gun Dog
Cairn Terrier,Scotland,Group 03 Section 02 #004,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Canaan Dog,Israel,Group 05 Section 06 #273,Herding Group,Group 07 (Nonsporting),Group 03 - Working Dogs,Utility,Non Sporting,Sighthound and Pariah
Canadian Eskimo Dog,Canada,,,Group 06 (Utility),Working Dogs,Working,Utility,Northern Breed
Cane Corso,Italy,Group 02 Section 02 #343,Working Group,,,,Utility,Guardian Dog
Cão da Serra de Aires,Portugal,Group 01 Section 01 #093,,,,,,Herding Dog
Cão de Castro Laboreiro,Portugal,Group 02 Section 02 #170,,,,,,Guardian Dog
Cão Fila de São Miguel,Portugal,Group 02 Section 02 #340,,,,,,
Carolina Dog,United States,,,,,,,Sighthound and Pariah
Carpathian Shepherd Dog,Romania,Group 01 Section 01 #305,,,,Pastoral,,Herding Dog
Catahoula Cur,United States,,FSS,,,,,Herding Dog
Catalan Sheepdog,Spain,Group 01 Section 01 #087,,,,,,
Caucasian Shepherd Dog,"Georgia,Armenia,Azerbaijan",Group 02 Section 02 #328,FSS,,,,,Guardian Dog
Cavalier King Charles Spaniel,England,Group 09 Section 07 #136,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Central Asian Shepherd Dog,Russia,Group 02 Section 02 #335,FSS,,,,Utility,Guardian Dog
Cesky Fousek,Czech Republic,Group 07 Section 01 #245,,,,,Gundogs,Gun Dog
Cesky Terrier,Czech Republic,Group 03 Section 02 #246,FSS (Miscellaneous),Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Chesapeake Bay Retriever,United States,Group 08 Section 01 #263,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Chien Français Blanc et Noir,France,Group 06 Section 01 #220,,,,,,Scenthound
Chien Français Blanc et Orange,France,Group 06 Section 01 #316,,,,,,Scenthound
Chien Français Tricolore,France,Group 06 Section 01 #219,,,,,,Scenthound
Chien-gris,France,,,,,,,
Chihuahua,Mexico,Group 09 Section 06 #218,Toy Group,Group 01 (Toys),Group 05—Toys,Toy,Toy,Companion Dog
Chilean Fox Terrier,Chile,,,,,,,
Chinese Chongqing Dog,China,,,,,,,
Chinese Crested Dog,China,Group 09 Section 04 #288,Toy Group,Group 01 (Toys),Group 05—Toys,Toy,Toy,Companion Dog
Chinese Imperial Dog,China,,,,,,,
Chinook,United States,,FSS (Miscellaneous),,,,,Northern Breed
Chippiparai,India,,,,,,,
Chow Chow,China,Group 05 Section 05 #205,Non-Sporting Group,Group 07 (Non-sporting),Group 06 Non-sporting,Utility,Non Sporting,Northern Breed
Cierny Sery,Slovakia,Group canpanion dog,Herding Dog,,,,,
Cimarrón Uruguayo,Uruguay,Group 02 Section 02 #353 Provisional,,,,,,Guardian Dog
Cirneco dell'Etna,Italy,Group 05 Section 07 #199,FSS,,,Hound,,
Clumber Spaniel,England,Group 08 Section 02 #109,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
"Collie, Rough",Scotland,Group 01 Section 01 #156,Herding Group,Group 05 (Working dogs),Group 07 - Herding dogs,Pastoral,Working,Herding Dog
"Collie, Smooth",Scotland,Group 01 Section 01 #296,Herding Group,Group 05 (Working dogs),Group 07 - Herding dogs,Pastoral,Working,Herding Dog
Combai,India,,,,,,,
Cordoba Fighting Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Coton de Tulear,Madagascar,Group 09 Section 01 #283,FSS,FSS,Toy,Toy,,Companion Dog
Cretan Hound,Greece,,,,,,,
Croatian Sheepdog,Croatia,Group 01 Section 01 #277,,,,,,Herding Dog
Cumberland Sheepdog,England,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Curly Coated Retriever,England,Group 08 Section 01 #110,Sporting Group,,Group 01 - Sporting,Gundogs,Gundogs,Gun Dog
Cursinu,Corsica (France),,,,,,,
Czechoslovak Wolfdog,Czechoslovakia,Group 01 Section 01 #332 Hunting group,FSS,,,,,
Dachshund,Germany,Group 04 Section 01 #148,Hound Group,Group 04 (Hounds),,,Hound,Scenthound
Dalmatian,Croatia,Group 06 Section 03 #153,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 (Non-Sporting),Utility,Non Sporting,Companion Dog
Dandie Dinmont Terrier,Scotland,Group 03 Section 02 #168,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Danish Swedish Farmdog,"Denmark,Sweden",,FSS,,,,,
Deutsche Bracke,Germany,Group 06 Section 01 #299,,,,,,
Doberman Pinscher,Germany,Group 02 Section 01 #143,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
Dogo Argentino,Argentina,Group 02 Section 02 #292,Foundation Stock Service,,,,,Guardian Dog
Dogo Cubano,Cuba,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Dogue de Bordeaux,France,Group 02 Section 02 #116,Working Group,Group 6 (Utility),,Working,Utility,Guardian Dog
Drentse Patrijshond,Netherlands,Group 07 Section 01 #224,FSS,,,,,Gun Dog
Drever,Sweden,Group 06 Section 01 #130,,,Canadian Kennel Club Group 02,,,Scenthound
Dunker,Norway,Group 06 Section 01 #203,,,,,,Scenthound
Dutch Shepherd Dog,Netherlands,Group 01 Section 01 #223,,,,,,Herding Dog
Dutch Smoushond,Netherlands,Group 02 Section 01 #308,,,,,,Terrier
East Siberian Laika,Russia,Group 05 Section 02 #305,,,,,,
East-European Shepherd,Russia,,,,,,,
Elo,Germany,,,,,,,
English Cocker Spaniel,England,Group 08 Section 02 #005,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog
English Coonhound,United States,,FSS (Miscellaneous),,,,,Scenthound
English Foxhound,England,Group 06 Section 01 #159,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
English Mastiff,England,Group 02 Section 02 #264,Working Group,Group 06 (Utility),Group 03 - Working,Working,Utility,Guardian Dog
English Setter,England,Group 07 Section 02 #002,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
English Shepherd,United States,,,,,,,Herding Dog
English Springer Spaniel,England,Group 08 Section 02 #125,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
English Toy Terrier (Black & Tan),England,Group 03 Section 04 #013,,Toy,,Toy,Toy,
English Water Spaniel,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
English White Terrier,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Entlebucher Mountain Dog,Switzerland,Group 02 Section 03 #047,Herding Group,,Group 03 - Working Dogs,Working,,Guardian Dog
Épagneul Bleu de Picardie,France,Group 07 Section 01 #106,,,Group 01 - Sporting,,,Gun Dog
Estonian Hound,Estonia,,,,,,,
Estrela Mountain Dog,Portugal,Group 02 Section 02 #173,FSS,,,Pastoral,Utility,Guardian Dog
Eurasier,Germany,Group 05 Section 05 #291,FSS,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Northern Breed
Field Spaniel,England,Group 08 Section 02 #123,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Fila Brasileiro,Brazil,Group 02 Section 02 #225,,,,,Utility,
Finnish Hound,Finland,Group 06 Section 01 #051,,,,,,Scenthound
Finnish Lapphund,Finland,Group 05 Section 03 #189,FSS (Miscellaneous),Group 05 (Working Dogs),Group 07,Pastoral,Working,Northern Breed
Finnish Spitz,Finland,Group 05 Section 02 #049,Non-Sporting Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Flat-Coated Retriever,United Kingdom,Group 08 Section 01 #121,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Formosan Mountain Dog,Taiwan,Group 05 Section 07 #348,,,,,,
Fox Terrier (Smooth),England,Group 03 Section 01 #012,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
"Fox Terrier, Wire",England,Group 03 Section 01 #169,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
French Brittany,France,Group 07 Section 01,,,,,,
French Bulldog,"England, France",Group 09 Section 11 #101,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog
French Spaniel,France,Group 07 Section 01 #175,,,Group 01 (Sporting),,,Gun Dog
Galgo Español,Spain,Group 10 Section 03 #285,,,,,,Sighthound and Pariah
Gascon Saintongeois,France,Group 06 Section 01 #21,,,,,,Scenthound
Georgian shepherd,Georgia,,,,,,,Guardian Dog
German Longhaired Pointer,Germany,,FSS,FSS,Group 01 (Sporting),,Gundogs,Gun Dog
German Pinscher,Germany,Group 02 Section 01 #184,Working Group,Group 06 (Utility),Group 06 - Non-Sporting,Working,Utility,Terrier
German Rough-haired Pointer,Germany,,,,,,,Gun Dog
German Shepherd Dog,Germany,Group 01 Section 01 #166,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
German Shorthaired Pointer,Germany,Group 07 Section 01 #119,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
German Spaniel,Germany,Group 08 Section 02 #104,,,,,,Gun Dog
German Spitz,Germany,Group 05 Section 04 #097,FSS,Group 07 (Non Sporting),,Utility,Non Sporting,Northern Breed
German Wirehaired Pointer,Germany,Group 07 Section 01 #098,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Giant Schnauzer,Germany,Group 02 Section 01 #181,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Herding Dog
Glen of Imaal Terrier,Ireland,Group 03 Section 01 #302,Terrier Group,Group 02 (Terriers),,Terrier,Terrier,Terrier
Golden Retriever,Scotland,Group 08 Section 01 #111,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Sporting Dog,Gundogs,Gun Dog
Gordon Setter,Scotland,Group 07 Section 02 #006,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Gran Mastín de Borínquen,Puerto Rico,,,,,,,
Grand Anglo-Français Blanc et Noir,France,Group 06 Section 02 #323,,,,,,Scenthound
Grand Anglo-Français Blanc et Orange,France,Group 06 Section 02 #324,,,,,,Scenthound
Grand Anglo-Français Tricolore,France,Group 06 Section 02 #322,,,,,,Scenthound
Grand Griffon Vendéen,France,Group 06 Section 01 #282,,,,,,
Great Dane,Germany,Group 02 Section 02 #235,Working Group,,,Working,Non Sporting,Guardian Dog
Great Pyrenees,"France, Spain",Group 02 Section 02 #137,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Guardian Dog
Greater Swiss Mountain Dog,Switzerland,Group 02 Section 03 #058,Working Group,,Working,,,Guardian Dog
Greek Harehound,Greece,Group 06 Section 1.2 #214,,,,,,Scenthound Group
Greenland Dog,Greenland,Group 05 Section 01 #274,,,Group 03 - Working Dogs,Working,,Northern Breed
Greyhound,,Group 10 Section 03 #158,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Griffon Bleu de Gascogne,France,Group 06 Section 01 #032,,,,,,Scenthound
Griffon Bruxellois,Belgium,"Group 09 Section 03 #080,081,082",Toy Group,Group 01 (Toy),Group 05(Toy),Toy,Toy,Companion Dog
Griffon Fauve de Bretagne,France,Group 06 Section 01 #066,,,,,,Scenthound
Griffon Nivernais,France,Group 06 Section 01 #017,,,,,,Scenthound
Hamiltonstövare,Sweden,Group 06 Section 01 #132,,Group 04 (Hounds),,Hound,Hound,Scenthound
Hanover Hound,Germany,Group 06 Section 02 #213,,,,,,Scenthound
