Breed,Origin,fci,akc,NKC,ankc,tkc,nzkc,ukc
Hare Indian Dog,"Canada, United States",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Harrier,United Kingdom,Group 06 Section 01 #295,Hound Group,Group 04 (Hounds),Group 02 (Hounds),,Hound,Scenthound
Havanese,Western Mediterranean Region,Group 09 Section 01 #250,Toy Group,Group 01 (Toys),Group 05 — Toys,Toy,Toy,Companion Dog
Hawaiian Poi Dog,United States,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Himalayan Sheepdog,Nepal,,,,,,,
Hokkaido,Japan,Group 05 Section 05 #261,,,,,,
Hortaya Borzaya,"Ukraine,Southern Russia,Belarus",,,,,,,
Hovawart,Germany,Group 02 Section 02 #190,,FSS,Group 02 - Working,Working,,Guardian Dog
Huntaway,New Zealand,,,,,,,
Hygenhund,Norway,,,,,,,
Ibizan Hound,Spain,Group 05 Section 07 #089,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Icelandic Sheepdog,Iceland,Group 05 Section 03 #289,Herding Group,,Group 07 - Herding,,Working,Northern Breed
Indian Spitz,India,,,,,,,
Irish Red and White Setter,Ireland,Group 07 Section 02 #330,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Setter,Ireland,Group 07 Section 02 #120,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Terrier,Ireland,Group 03 Section 01 #139,Terrier Group,Group 02 (Terriers),Group 04 - Terrier,Terrier,Terrier,Terrier
Irish Water Spaniel,Ireland,Group 08 Section 03 #124,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Wolfhound,Ireland,Group 10 Section 02 #160,Hound Group,Group 04 (Hound),Group 02 (Hound),Hound,Hound,Sighthound and Pariah
Istrian Coarse-haired Hound,Croatia,Group 06 Section 01 #152,,,,,,Scenthound
Istrian Shorthaired Hound,Croatia,Group 06 Section 01 #151,,,,,,Scenthound
Italian Greyhound,Italy,Group 10 Section 03 #200,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Jack Russell Terrier,England,Group 03 Section 02 #345,,Group 2 (Terriers),,,Terrier,Terrier
Jagdterrier,Germany,Group 03 Section 01 #103,,,,,,Terrier
Jämthund,Sweden,Group 05 Section 02 #042,,,,,,Northern Breed
Japanese Chin,Japan,Group 09 Section 08 #206,Toy Group,Group 01 (Toys),Group 05 (Toys),Toy,Toy,Companion Dog
Japanese Spitz,Japan,Group 05 Section 05 #262,,7 (Non-Sporting),"VI, Non-Sporting",Utility,Non Sporting,Northern Breed
Japanese Terrier,Japan,Group 03 Section 02 #259,,,,,,
Kaikadi,India,,,,,,,
Kai Ken,Japan,Group 05 Section 05 #317,FSS,,,,,
Kangal Dog,Turkey,,,Group 06 (Utility),,Pastoral,Utility,Guardian Dog
Kanni,India,,,,,,,
Karakachan Dog,Bulgaria,,,,,,,
Karelian Bear Dog,Finland,Group 05 Section 02 #048,FSS,,Group 03 - Working Dogs,,,Northern Breed
Karst Shepherd,Slovenia,Group 02 Section 02 #278,,,,,,Guardian Dog
Keeshond,"Netherlands,Germany",Group 05 Section 04 #097,Non-Sporting Group,Group 07 (Non-sporting),Group 06 (Non-sporting),Utility,Non Sporting,Northern Breed
Kerry Beagle,Ireland,,,,,,,
Kerry Blue Terrier,Ireland,Group 03 Section 01 #003,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
King Charles Spaniel,England,Group 09 Section 07 #128,Toy Group,Group 01 Toys,Group 05 - Toys,Toy,Toy,Companion Dog
King Shepherd,United States,,,,,,,
Kintamani,Indonesia,,,,,,,
Kishu,Japan,Group 05 Section 05 #318,FSS,,,,,
Komondor,Hungary,Group 01 Section 01 #053,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Kooikerhondje,Netherlands,Group 08 Section 02 #314,FSS,,,Gundog,,Gun Dog
Koolie,Australia,,,,,,,
Korean Jindo Dog,South Korea,Group 05 Section 05 #334,FSS,,,,,Northern Breeds
Kromfohrländer,Germany,Group 09 Section 10 #192,,,,,,Terrier
Kunming Wolfdog,China,,,,,,,
Kurī,New Zealand,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Kuvasz,Hungary,Group 01 Section 01 #054,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Kyi-Leo,United States,,,,,,,
Labrador Husky,Canada,,,,,,,
Labrador Retriever,"Canada, England",Group 08 Section 01 #122,Sporting Group,Group 03 (Gun dogs),Group 01 — Sporting Dogs,Gun dog,Gundogs,Gun Dog
Lagotto Romagnolo,Italy,Group 08 Section 03 #298,FSS,,Group 03 Gundogs,Gundogs,Gundogs,Gun Dog
Lakeland Terrier,England,Group 03 Section 01 #070,Terrier Group,Group 02 (Terriers),Group 04 - Terrier,Terrier,Terrier,Terrier
Lancashire Heeler,England,,FSS,,,Pastoral,,
Landseer,Canada,Group 02 Section 02 #226,,,,,,
Lapponian Herder,Finland,Group 05 Section 03 #284,,,,,,Herding Dog
Leonberger,Germany,Group 02 Section 02 #145,Working Group,Group 06 (Utility),Working Dogs,Working,Utility,Guardian Dog
Lhasa Apso,Tibet,Group 09 Section 05 #227,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-sporting Dogs,Utility,Non Sporting,Companion Dog
Lithuanian Hound,Lithuania,,,,,,,
Longhaired Whippet,United States,,,,,,,
Löwchen,"Germany,France,Netherlands,Spain",Group 09 Section 01 #233,Non-Sporting Group,Group 01(Toys),Group 06 (Non-Sporting),Toys,Toys,Companion Dog
Magyar Agár,"Hungary,Transylvania",,,,,,,
Maltese,Italy,Group 09 Section 01 #065,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Manchester Terrier,England,Group 03 Section 01 #071,"Terrier Group, Toy Group",,,Terrier,Terrier,Terrier
Maremma Sheepdog,Italy,Group 01 Section 01 #201,,Group 05 (Working Dogs),,Pastoral,Working,Guardian Dog
McNab,United States,,,,,,,
Mexican Hairless Dog,Mexico,Group 05 Section 06 #234,Non-Sporting Group,,Toys/Non Sporting,Utility,,Sighthound and Pariah
Miniature Australian Shepherd,United States,,,,,,,
Miniature American Shepherd,United States,,FSS (Miscellaneous),,,,,Herding Dog
Miniature Fox Terrier,Australia,,,,,,,
Miniature Pinscher,Germany,Group 02 Section 01 #185,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Miniature Schnauzer,Germany,Group 02 Section 01 #183,Terrier Group,Group 06 (Utility),Group 04 - Terriers,Utility,Utility,Terrier
Miniature Shar Pei,China,,,,,,,
Mioritic,Romania,Group 01 Section 01 #349,,,,,,
Molossus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Montenegrin Mountain Hound,Montenegro,Group 06 Section 01 #279,,,,,,
Moscow Watchdog,Russia,,,,,,,
Moscow Water Dog,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Mountain Cur,United States,,,,,,,Scenthound
Mucuchies,Venezuela,,,,,,,
Mudhol Hound,India,,,,,,,
Mudi,Hungary,Group 01 Section 01 #238,FSS,,,,,Herding Dog
"Münsterländer, Large",Germany,Group 07 Section 01 #118,,Group 03 (Gundogs),,Gundog,Gundogs,Gun Dog
"Münsterländer, Small",Germany,Group 07 Section 01 #102,FSS,,Miscellaneous,Gundog,,Gun Dog
Neapolitan Mastiff,Italy,Group 02 Section 02 #197,Working Group,Group 06 (Utility),Miscellaneous,Working,Utility,Guardian Dog
Newfoundland,Canada,Group 02 Section 02 #050,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
New Zealand Heading Dog,New Zealand,,,,,,,
Norfolk Spaniel,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Norfolk Terrier,Great Britain,Group 03 Section 02 #272,Terrier Group,Group 02 Terriers,Terrier,Terrier,Terrier,Terrier
Norrbottenspets,Sweden,Group 05 Section 02 #276,FSS,,Group 02 - Hounds,,,Northern Breed
North Country Beagle,Great Britain,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Northern Inuit Dog,England,,,,,,,
Norwegian Buhund,Norway,Group 05 Section 03 #237,Herding Group,Group 05 (Working Dogs),Group 07 - Herding,Pastoral,Working,Northern Breed
Norwegian Elkhound,Norway,Group 05 Section 02 #242,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Norwegian Lundehund,Norway,Group 05 Section 02 #265,Non-Sporting Group,,Group 02 - Hounds,,,Northern Breed
Norwich Terrier,United Kingdom,Group 03 Section 02 #072,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Nova Scotia Duck-Tolling Retriever,Canada,Group 08 Section 01 #312,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Old Croatian Sighthound,Croatia,,,,,,,
Old Danish Pointer,Denmark,Group 07 Section 01 #281,,,,,,
Old English Sheepdog,England,Group 01 Section 01 #016,Herding Group,Working Group,Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Old English Terrier,England,,,,,,,
Old German Shepherd Dog,Germany,,,,,,,
Old Time Farm Shepherd,United States,,,,,,,
Olde English Bulldogge,United States,,,,,,,CDHPR
Otterhound,England,Group 06 Section 02 #294,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Pachon Navarro,Spain,,,,,,,
Paisley Terrier,Scotland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Papillon,"Spain, Belgium,France",Group 09 Section 09 #077,Toy Group,Group 01 (Toys),Group 02- Toys,Toy,Toy,Companion Dog
Parson Russell Terrier,England,Group 03 Section 01 #339,Terrier Group,Group 02 (Terrier),Terrier,Terrier,Terrier,Terrier
Patterdale Terrier,England,,,,,,,Terrier
Pekingese,China,Group 09 Section 08 #207,Toy Group,Group 01 (Toys),Group 05- Toys,Toy,Toy,Companion Dog
Perro de Presa Canario,Spain,Group 02 Section 02 #346,FSS,,,,,Guardian Dog
Perro de Presa Mallorquin,Spain,Group 02 Section 02 #249,,,,,,Guardian Dog
Peruvian Hairless Dog,Peru,Group 05 Section 06 #310,FSS (Miscellaneous),,,,Non Sporting,Sighthound and Pariah
Phalène,"Belgium, Spain",,,,,,,
Pharaoh Hound,Malta,Group 05 Section 06 #248,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Phu Quoc ridgeback dog,Vietnam,,,,,,,
Picardy Spaniel,France,Group 07 Section 01 #108,,,Miscellaneous,,,Gun Dog
Plott Hound,United States,,Hound Group,,,,,Scenthound
Podenco Canario,Spain,Group 05 Section 07 #329,FSS,,,,,Sighthound and Pariah
Pointer,England,Group 07 Section 02 #001,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Polish Greyhound,Poland,Group 10 Section 03 #333,,,Miscellaneous,,,Sighthound and Pariah
Polish Hound,Poland,Group 06 Section 01 #052,,,,,,
Polish Hunting Dog,Poland,Group 06 Section 01 #354,,,,,,
Polish Lowland Sheepdog,Poland,Group 01 Section 01 #251,Herding Group,Group 05 (Working),Group 07 - Herding,Pastoral,Working,Herding Dog
Polish Tatra Sheepdog,Poland,Group 01 Section 01 #252,,,,,,Guardian Dog
Pomeranian,"Germany,Poland",Group 05 Section 04 #097,Toy Group,Group 01 (Toys),Group 05- Toys,Toy,Toy,Companion Dog
Pont-Audemer Spaniel,France,Group 07 Section 01 #114,,,,,,
Poodle,"Germany,France",Group 09 Section 02 #172,"Non-Sporting Group, Toy Group",Group 07 (Non-Sporting),"Group 06 - Non-Sporting, Group 05 - Toys",Utility,Utility,"Companion Dog, Gun Dog"
Porcelaine,France,Group 06 Section 01 #030,,,,,,
Portuguese Podengo,Portugal,Group 05 Section 07 #094,FSS,,,Hound,,Sighthound and Pariah
Portuguese Pointer,Portugal,Group 07 Section 01 #187,FSS,,,,,Gun Dog
Portuguese Water Dog,Portugal,Group 08 Section 03 #037,Working Group,Group 06 (Utility),Group 03 - Working dogs,Working,Utility,Gun Dog
Posavac Hound,Croatia,Group 06 Section 01 #154,,,,,,Scenthound
Pražský Krysařík,Czech Republic,,,,,,,
Pudelpointer,Germany,Group 07 Section 01 #216,,,Group 01 - Sporting Dogs,,,Gun Dog
Pug,China,Group 09 Section 11 #253,Toy Group,Group 01 (Toys),Group 05- Toys,Toy,Toy,Companion Dog
Puli,Hungary,Group 01 Section 01 #055,Herding Group,Group 05 (Working),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Pumi,Hungary,Group 01 Section 01 #056,FSS (Miscellaneous),Group 05 (Working),,,Working,Herding Dog
Pungsan Dog,North Korea,,,,,,,
Pyrenean Mastiff,Spain,Group 02 Section 02 #092,,,,,Utility,
Pyrenean Shepherd,France,Group 01 Section 01 #141,Herding Group,,Group 07 (Herding),Pastoral,Utility,Herding Dog
Rafeiro do Alentejo,Portugal,Group 02 Section 02 #096,FSS,,,,,Guardian Dog
Rajapalayam,India,,,,,,,
Rampur Greyhound,India,,,,,,,
Rastreador Brasileiro,Brazil,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Ratonero Bodeguero Andaluz,Spain,,,,,,,
Ratonero Valenciano,Spain,,,,,,,
Rat Terrier,United States,,FSS (Miscellaneous),,,,,Terriers
Redbone Coonhound,United States,,Miscellaneous,,,,,Scenthound
Rhodesian Ridgeback,Zimbabwe,Group 06 Section 03 #146,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Rottweiler,Germany,Group 02 Section 02 #147,Working Group,Group 06 (Utility),Group 03 - Working,Working,Utility,Guardian Dog
Russian Spaniel,Russia,,,,,,,
Russian Toy,Russia,Group 09 Section 09 #352 Provisional,FSS,,,,,Companion Dog
Russian tracker,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Russo-European Laika,Russia,Group 05 Section 02 #304,,,,,,
Russell Terrier,England,Group 03 Section 02 #345,FSS (Miscellaneous),Group 02 (Terriers),,,,Terrier
Saarlooswolfhond,"Netherlands,Germany",Group 01 Section 01 #311,,,,,,Herding Dog
Sabueso Español,Spain,Group 06 Section 01 #204,,,,,,Scenthound
Saint-Usuge Spaniel,France,,,,,,,
Sakhalin Husky,Japan,,,,,,,
Saluki,Middle East,Group 10 Section 01 #269,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Samoyed,Russia,Group 05 Section 01 #212,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Northern Breed
Sapsali,Korea,,,,,,,
Šarplaninac,"Serbia, Republic of Macedonia",Group 02 Section 02 #041,,,Miscellaneous List,,,Guardian Dog
Schapendoes,Netherlands,Group 03 Section 01 #313,FSS,,Herding Group,,,Herding Dog
Schillerstövare,Sweden,Group 06 Section 01 #131,,,,,,Scenthound
Schipperke,Belgium,Group 01 Section 01 #083,Non-Sporting Group,Group 07 (Non-sporting),Group 06 (Non-sporting),Utility,Non Sporting,Companion Dog
Standard Schnauzer,Germany,Group 02 Section 01 #182,Working Group,Group 6 (Utility),Group 3 - Working Dogs,Working,Utility,Herding Dog
Schweizer Laufhund,Switzerland,Group 06 Section 01 #059,,,,,,
Schweizerischer Niederlaufhund,Switzerland,Group 06 Section 01 #060,,,,,,Scenthound
Scotch Collie,Scotland,,,,,,,
Scottish Deerhound,Scotland,Group 10 Section 02 #164,Hound Group,Group 4 (Hounds),Group 2 - Hounds,Hound,Hound,Sighthound and Pariah
Scottish Terrier,Scotland,Group 03 Section 02 #073,Terrier Group,Group 2 (Terriers),Group 4 - Terriers,Terrier,Terrier,Terrier
Sealyham Terrier,Wales,Group 03 Section 02 #074,Terrier Group,Group 2 (Terriers),Group 4 - Terrier,Terrier,Terrier,Terrier
Segugio Italiano,Italy,Group 06 Section 01 #337 #198,,,,Hound,,
Seppala Siberian Sleddog,Canada,,,,,,,
Serbian Hound,Serbia,Group 06 Section 01 #150,,,,,,
Serbian Tricolour Hound,Serbia,Group 06 Section 01 #229,,,,,,
Shar Pei,China,Group 02 Section 02 #309,Non-Sporting Group,Group 7 (Non-Sporting),Group 6 - Non-Sporting,Utility,Non Sporting,Northern Breed
Shetland Sheepdog,Scotland,Group 01 Section 01 #088,Herding Group,Group 5 (Working Dogs),Group 7 - Herding Dogs,Pastoral,Working,Herding Dog
Shiba Inu,Japan,Group 05 Section 05 #257,Non-Sporting Group,Group 6 (Utility),Group 6 - Non-Sporting,Utility,Utility,Northern Breed
Shih Tzu,China,Group 09 Section 05 #208,Toy Group,Group 7 - Non-Sporting,Group 6 - Non-Sporting,Utility,Non Sporting,Companion Dog
Shikoku,Japan,Group 05 Section 05 #319,,,,,,Northern Breed
Shiloh Shepherd Dog,United States,,,,,,,
Siberian Husky,Russia,Group 05 Section 01 #270,Working Group,Group 6 (Utility),Group 3 (Working),Working,Utility,Northern Breed
Silken Windhound,United States,,,,,,,Sighthound and Pariah
Sinhala Hound,Sri Lanka,,,,,,,
Skye Terrier,Scotland,Group 03 Section 02 #075,Terrier Group,Group 2 (Terriers),Group 4 (Terriers),Terrier,Terrier,Terrier
Sloughi,Morocco,Group 10 Section 03 #188,FSS (Miscellaneous),Group 4 (Hounds),,Hound,Hound,Sighthound and Pariah
Slovak Cuvac,Slovakia,Group 01 Section 01 #142,FSS,,,,,Guardian Dog
Slovakian Rough-haired Pointer,Slovakia,Group 07 Section 01 #320,,,,,,
Slovenský Kopov,Slovakia,Group 06 Section 01 #244,,,,,,Scenthound
Smålandsstövare,Sweden,,,,,,,
Small Greek Domestic Dog,Greece,,,,,,,
Soft-Coated Wheaten Terrier,Ireland,Group 03 Section 01 #040,Terrier Group,Group 2 (Terriers),Group 4 - Terriers,Terrier,Terrier,Terrier
South Russian Ovcharka,Russia,Group 01 Section 01 #326,,,,,,Guardian Dog
Southern Hound,Britain,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Spanish Mastiff,Spain,Group 02 Section 02 #091,FSS,,,,,
Spanish Water Dog,Spain,Group 08 Section 03 #336,FSS,,,Gundog,Gundogs,Gun Dog
Spinone Italiano,Italy,Group 07 Section 01 #165,Sporting Group,Group 3 (Gundogs),Sporting,Gundog,Gundogs,Gun Dog
Sporting Lucas Terrier,England,,,,,,,Terrier
St. Bernard,"Italy, Switzerland",Group 02 Section 02 #061,Working Group,Utility Group,Working Group,Working Group,Utility,Guardian Dog
St. John's water dog,"Newfoundland,Canada",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Stabyhoun,Netherlands,Group 07 Section 01 #222,FSS,,,,,Gun Dog
Staffordshire Bull Terrier,England,Group 03 Section 03 #076,Terrier Group,Group 2 (Terriers),Group 4 - Terriers,Terrier,Terrier,Terrier
Stephens Cur,United States,,,,,,,Scenthound
Styrian Coarse-haired Hound,Austria,Group 06 Section 01 #062,,,,,,Scenthound
Sussex Spaniel,England,Group 08 Section 02 #127,Sporting Group,Group 3 (Gundogs),Group 1 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Swedish Lapphund,Sweden,Group 05 Section 03 #135,FSS,,,,Working,
Swedish Vallhund,Sweden,Group 05 Section 03 #014,Herding Group,Group 5 (Working Dogs),Group 7 (Herding Dogs),Pastoral,Working,Herding Dog
Tahltan Bear Dog,Canada,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Taigan,Kyrgyzstan,,,,,,,
Talbot,,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Tamaskan Dog,Finland,,,,,,,
Teddy Roosevelt Terrier,United States,,,,,,,Terrier
Telomian,Malaysia,,,,,,,
Tennessee Treeing Brindle,United States,,,,,,,
Tenterfield Terrier,Australia,,,Group 2 (Terriers),,,Terrier,
Thai Bangkaew Dog,Thailand,,,,,,,
Thai Ridgeback,Thailand,Group 05 Section 08 #338,FSS,,,,,Sighthound and Pariah
Tibetan Mastiff,China,Group 02 Section 02 #230,Working Group,Group 6 (Utility),,Working,Utility,Guardian Dog
Tibetan Spaniel,Tibet,Group 09 Section 05 #231,Non-Sporting Group,Group 1 (Toys),Group 6 - Non-Sporting Dogs,Utility,Non Sporting,Companion Dog
Tibetan Terrier,Tibet,Group 09 Section 05 #209,Non-Sporting Group,Group 1 (Toys),Group 6 - Non-Sporting Dogs,Utility,Non Sporting,Companion Dog
Tornjak,"Bosnia and Herzegovina,Croatia",Group 02 Section 02 #355 (provisional),,,,,,
Tosa,Japan,Group 02 Section 02 #260,FSS,,,,,Guarding Dog
Toy Bulldog,,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Toy Fox Terrier,United States,,Toy Group,,,,,Terrier
Toy Manchester Terrier,"England, United States",,Toy Group,Toy Group,,,,Terrier
Toy Trawler Spaniel,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Transylvanian Hound,Hungary,Group 06 Section 01 #241,,,,,,Scenthound
Treeing Cur,United States,,,,,,,
Treeing Walker Coonhound,United States,,FSS (Miscellaneous),,,,,Scenthound
Trigg Hound,"Kentucky, United States",,,,,,,
Tweed Water Spaniel,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Tyrolean Hound,Austria,Group 06 Section 01 #068,,,,,,
Vizsla,Hungary,Group 07 Section 01 #057,Sporting Group,Group 3 (Gundogs),Group 1 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Volpino Italiano,Italy,Group 05 Section 04 #195,,,,,,
Weimaraner,Germany,Group 07 Section 01 #099,Sporting Group,Group 3 (Gun dogs),Group 1 - Sporting,Gun dog,Gundogs,Gun Dog
"Welsh Corgi, Cardigan",Wales,Group 01 Section 01 #038,Herding Group,Group 5 (Working Dogs),Group 7 - Herding Dogs,Pastoral,Working,Herding Dog
"Welsh Corgi, Pembroke",Wales,Group 01 Section 08 #039,Herding Group,Group 5 (Working Dogs),Group 7 - Herding Dogs,Pastoral,Working,Herding Dog
Welsh Sheepdog,Wales,,,,,,,
Welsh Springer Spaniel,Wales,Group 08 Section 02 #126,Sporting Group,Group 3 (Gundogs),Sporting dogs,Gundog,Gundogs,Gun Dog
Welsh Terrier,Wales,Group 03 Section 01 #078,Terrier Group,Group 2 (Terriers),Group 4 - Terrier,Terrier,Terrier,Terrier
West Highland White Terrier,Scotland,Group 03 Section 02 #085,Terrier Group,Group 2 (Terriers),Group 4 - Terrier,Terrier,Terrier,Terrier
West Siberian Laika,Russia,Group 05 Section 02 #306,,,,,,
Westphalian Dachsbracke,Germany,Group 06 Section 01 #100,,,,,,Scenthound
Wetterhoun,Netherlands,Group 08 Section 03 #221,,,,,,Gun Dog
Whippet,England,Group 10 Section 03 #162,Hound Group,Group 4 (Hounds),Group 2 (Hounds),Hound,Hound,Sighthound and Pariah
White Shepherd,United States,,,,,,Working,Herding Dog
Wirehaired Pointing Griffon,"Netherlands,France",Group 07 Section 01 #107,Sporting Group,,Group 1 - Sporting Dogs,Gundog,,Gun Dog
Wirehaired Vizsla,Hungary,Group 07 Section 01 ##239,FSS (Miscellaneous),Group 1 - Sporting Dogs,Gundog,,,Gun Dog
Yorkshire Terrier,England,Group 03 Section 04 #086,Toy Group,Group 1 (Toys),"Group V, Toys",Toy Group,Toy,Companion Dog